Year,Tag,Count
2023,python,112901
2023,javascript,72784
2023,reactjs,41523
2023,java,39462
2023,c#,39246
2023,html,28784
2023,r,27425
2023,android,25507
2023,css,22764
2023,c++,23472
2023,typescript,22514
2023,flutter,22671
2024,python,60112
2024,javascript,34761
2024,reactjs,21220
2024,java,21090
2024,android,18323
2024,flutter,14053
2024,reactjs,21220
2024,html,13809
2024,c++,13338
2024,r,13259
2024,css,11238
2024,typescript,13078
2025,python,7847
2025,javascript,4097
2025,java,3282
2025,c#,3257
2025,android,2749
2025,reactjs,2525
2025,c++,2153
2025,flutter,1915
2025,typescript,1863
2025,html,1681
2025,r,1621
2025,css,1502
